,Weekly_Sales,ARIMA_Forecast_Function,ARIMA_Predict_Function,SARIMA_Forecast_Function,SARIMA_Predict_Function
2010-02-05,1105572.0111111111,,,,
2010-02-12,1074148.3917777778,,,,
2010-02-19,1072822.084,,,,
2010-02-26,977079.3584444445,,,,
2010-03-05,1041588.2288888888,,,,
2010-03-12,1020564.3668888889,,,,
2010-03-19,999754.992,,,,
2010-03-26,980754.69,,,,
2010-04-02,1120529.5835555554,,,,
2010-04-09,1052562.0097777778,,,,
2010-04-16,1004081.4906666667,,,,
2010-04-23,994098.9457777778,,,,
2010-04-30,971225.0380000001,,,,
2010-05-07,1077849.8560000001,,,,
2010-05-14,1007335.1155555557,,,,
2010-05-21,1002669.0680000001,,,,
2010-05-28,1061277.8346666668,,,,
2010-06-04,1115300.958222222,,,,
2010-06-11,1062812.1493333334,,,,
2010-06-18,1058267.694,,,,
2010-06-25,1035756.362,,,,
2010-07-02,1087055.211111111,,,,
2010-07-09,1064433.986,,,,
2010-07-16,1027642.2128888889,,,,
2010-07-23,997529.9802222222,,,,
2010-07-30,991785.8537777779,,,,
2010-08-06,1071222.2026666666,,,,
2010-08-13,1032542.6313333334,,,,
2010-08-20,1045798.9537777778,,,,
2010-08-27,1020216.4542222222,,,,
2010-09-03,1048761.2802222222,,,,
2010-09-10,1014097.7297777777,,,,
2010-09-17,957349.478,,,,
2010-09-24,919078.0979999999,,,,
2010-10-01,938663.9082222221,,,,
2010-10-08,1002288.3162222222,,,,
2010-10-15,958877.1877777779,,,,
2010-10-22,957037.1004444443,,,,
2010-10-29,968951.7988888889,,,,
2010-11-05,1017377.3753333334,,,,
2010-11-12,1024995.5739999999,,,,
2010-11-19,1002790.7595555555,,,,
2010-11-26,1462688.960888889,,,,
2010-12-03,1109089.5084444445,,,,
2010-12-10,1237039.342,,,,
2010-12-17,1373795.5522222223,,,,
2010-12-24,1798475.9022222222,,,,
2010-12-31,898500.4222222222,,,,
2011-01-07,950573.0615555554,,,,
2011-01-14,903859.512,,,,
2011-01-21,903436.6228888889,,,,
2011-01-28,879996.7331111112,,,,
2011-02-04,1025624.6915555554,,,,
2011-02-11,1051915.3953333334,,,,
2011-02-18,1082581.4248888888,,,,
2011-02-25,980574.663111111,,,,
2011-03-04,1044013.4164444444,,,,
2011-03-11,991718.2088888888,,,,
2011-03-18,997162.7993333333,,,,
2011-03-25,952804.4262222222,,,,
2011-04-01,965755.3597777777,,,,
2011-04-08,1019721.4844444444,,,,
2011-04-15,999407.292,,,,
2011-04-22,1081704.2680000002,,,,
2011-04-29,967334.0617777779,,,,
2011-05-06,1041376.8508888888,,,,
2011-05-13,1009914.3293333333,,,,
2011-05-20,978813.2891111111,,,,
2011-05-27,1006521.2675555556,,,,
2011-06-03,1083822.092888889,,,,
2011-06-10,1059327.4368888887,,,,
2011-06-17,1054390.2615555557,,,,
2011-06-24,1019646.5462222222,,,,
2011-07-01,1057300.4333333333,,,,
2011-07-08,1063539.195111111,,,,
2011-07-15,1011465.1093333333,,,,
2011-07-22,1006098.0308888889,,,,
2011-07-29,970739.4284444444,,,,
2011-08-05,1067010.377111111,,,,
2011-08-12,1027768.2046666667,,,,
2011-08-19,1042607.7248888889,,,,
2011-08-26,1053709.9655555557,,,,
2011-09-02,1008369.4060000001,,,,
2011-09-09,1039182.834,,,,
2011-09-16,973199.1128888888,,,,
2011-09-23,949291.0384444444,,,,
2011-09-30,937685.1291111112,,,,
2011-10-07,1049148.6302222223,,,,
2011-10-14,986107.1177777777,,,,
2011-10-21,1018198.9653333332,,,,
2011-10-28,1019018.2455555554,,,,
2011-11-04,1081234.3177777778,,,,
2011-11-11,1077204.9944444445,,,,
2011-11-18,1031977.3457777778,,,,
2011-11-25,1479857.8946666666,,,,
2011-12-02,1097567.922,,,,
2011-12-09,1234692.171111111,,,,
2011-12-16,1335237.6875555555,,,,
2011-12-23,1711072.029111111,,,,
2011-12-30,1023165.8008888889,,,,
2012-01-06,999009.3766666667,,,,
2012-01-13,933846.1884444443,,,,
2012-01-20,935133.2568888889,,,,
2012-01-27,885221.6593333334,,,,
2012-02-03,1024124.6242222222,,,,
2012-02-10,1111320.176,,,,
2012-02-17,1115490.1546666666,,,,
2012-02-24,1017144.5904444444,,,,
2012-03-02,1041356.3326666666,,,,
2012-03-09,1055121.2024444444,,,,
2012-03-16,1042255.6653333333,,,,
2012-03-23,999862.098888889,,,,
2012-03-30,1006063.6004444446,,,,
2012-04-06,1188940.3526666665,,,,
2012-04-13,1036205.809111111,,,,
2012-04-20,1001611.772888889,,,,
2012-04-27,971484.4197777777,,,,
2012-05-04,1047204.3984444444,,,,
2012-05-11,1042797.3108888889,,,,
2012-05-18,1040531.9826666666,,,,
2012-05-25,1064276.9624444444,,,,
2012-06-01,1072925.5493333333,,,,
2012-06-08,1103359.372888889,,,,
2012-06-15,1075824.6822222222,,,,
2012-06-22,1059295.2215555555,,,,
2012-06-29,1035491.3804444444,,,,
2012-07-06,1138956.041777778,,,,
2012-07-13,1024438.4911111111,,,,
2012-07-20,1023545.41,,,,
2012-07-27,979936.7771111111,,,,
2012-08-03,1055242.2124444444,,,,
2012-08-10,1053410.023111111,,,,
2012-08-17,1052321.1566666665,,,,
2012-08-24,1054384.9688888888,,,,
2012-08-31,1047991.9873333334,,,,
2012-09-07,1074001.318,,,,
2012-09-14,982800.8588888888,,,,
2012-09-21,985656.6024444444,,,,
2012-09-28,971886.6533333333,,,,
2012-10-05,1057036.4291111112,,,,
2012-10-12,1025078.0944444444,,,,
2012-10-19,1002720.2348888889,,,,
2012-10-26,1012091.4731111111,,,,
2012-11-02,,1035575.145242712,1033888.9229430216,1069697.965897475,1069697.965897475
2012-11-09,,1024290.0215672847,1022597.6701050791,1068066.0370237255,1068066.0370237255
2012-11-16,,1020656.5637765289,1018846.8385567134,1019221.3771165264,1019221.3771165264
2012-11-23,,1037804.738084464,1036214.5775740946,1379815.8272762285,1379815.8272762285
2012-11-30,,1034620.6204453366,1032650.7720921972,1092052.7914625797,1092052.7914625797
2012-12-07,,1032538.6037312874,1030621.8412010876,1200167.4234656363,1200167.4234656363
2012-12-14,,1040304.701393592,1038332.0441552023,1275161.8358949418,1275161.8358949418
2012-12-21,,1042167.7903407462,1039912.6334677185,1565548.391250234,1565548.391250234
2012-12-28,,1039682.1687921439,1037656.0302921882,1023498.3942392202,1023498.3942392202
2013-01-04,,1043581.8571659767,1041526.3636296998,1015195.9953317385,1015195.9953317385
2013-01-11,,1045087.6741657569,1042954.149268795,948682.3003946244,948682.3003946244
2013-01-18,,1043923.3124036728,1042016.3413246971,947515.9614013801,947515.9614013801
2013-01-25,,1044974.1252922532,1043064.6578916209,901563.47266705,901563.47266705
2013-02-01,,1046222.4519574455,1044361.9665060149,1032208.335366273,1032208.335366273
2013-02-08,,1045406.5022805695,1043706.2859419995,1093921.7339284923,1093921.7339284923
2013-02-15,,1045593.5786093725,1043936.4781564206,1099363.5673346175,1099363.5673346175
2013-02-22,,1046138.6993161875,1044572.7206571165,1022476.0060423608,1022476.0060423608
2013-03-01,,1045817.148524098,1044336.3128016057,1037625.1651235753,1037625.1651235753
2013-03-08,,1045614.1694645854,1044194.7659363574,1051856.7576970228,1051856.7576970228
2013-03-15,,1045888.4687253863,1044553.6105017277,1026455.2339721009,1026455.2339721009
2013-03-22,,1045713.7768995767,1044445.4435604175,989443.8386926918,989443.8386926918
2013-03-29,,1045550.2266082261,1044333.791383738,992861.004391548,992861.004391548
2013-04-05,,1045629.9525330613,1044482.3951583006,1154538.4112644552,1154538.4112644552
2013-04-12,,1045582.2533764235,1044497.3626816426,1026514.9686558525,1026514.9686558525
2013-04-19,,1045447.101698001,1044421.2877995076,1004035.9995127163,1004035.9995127163
2013-04-26,,1045485.0772219904,1044507.6948072381,979316.0722614019,979316.0722614019
2013-05-03,,1045473.0535429971,1044552.73558428,1051647.4993724984,1051647.4993724984
2013-05-10,,1045412.2171588893,1044543.0370275631,1046979.0068751817,1046979.0068751817
2013-05-17,,1045410.5412086629,1044594.5529537615,1035155.6129595616,1035155.6129595616
2013-05-24,,1045430.5593676979,1044659.4962885869,1142323.903131622,1142323.903131622
2013-05-31,,1045396.4134829901,1044679.3564914751,1077673.5622004713,1077673.5622004713
2013-06-07,,1045407.0274575431,1044728.5309775582,1126873.2005431217,1126873.2005431217
2013-06-14,,1045422.9369870947,1044789.6265106545,1125742.3368507258,1125742.3368507258
2013-06-21,,1045425.8764819192,1044834.695359314,1186230.7387852254,1186230.7387852254
2013-06-28,,1045419.0305941959,1044878.1099843885,1030192.8722806125,1030192.8722806125
2013-07-05,,1045440.4090975126,1044936.9486101894,1106971.56619051,1106971.56619051
2013-07-12,,1045449.1033283964,1044981.9217286876,1004663.3193266315,1004663.3193266315
2013-07-19,,1045459.9181095568,1045031.9328990793,1003811.3421309042,1003811.3421309042
2013-07-26,,1045464.6064864084,1045080.731179232,959905.4333078456,959905.4333078456
2013-08-02,,1045481.471050559,1045128.7190064832,1048407.3738993341,1048407.3738993341
2013-08-09,,1045496.4817382667,1045173.4540273983,1061344.700941318,1061344.700941318
2013-08-16,,1045508.0693189339,1045223.886532434,1062373.1614609326,1062373.1614609326
2013-08-23,,1045514.2800464958,1045265.2967887126,1044960.9195205886,1044960.9195205886
2013-08-30,,1045516.523680429,1045308.8787536753,1044282.8538222244,1044282.8538222244
2013-09-06,,1045526.8375899536,1045347.5715492757,1066428.9489407362,1066428.9489407362
2013-09-13,,1045532.8194043052,1045386.5194179477,991872.08121973,991872.08121973
2013-09-20,,1045555.8686954645,1045426.0297990078,984880.0663751906,984880.0663751906
2013-09-27,,1045562.8177613289,1045467.3114389197,975309.0487729579,975309.0487729579
2013-10-04,,1045551.1444411734,1045507.0140357282,1077402.65726889,1077402.65726889
2013-10-11,,1045570.124251046,1045531.3535476074,1023788.272096038,1023788.272096038
2013-10-18,,1045576.0771701989,1045576.0771701989,1003393.9806695495,1003393.9806695495
